timestamp,datapath_id,flow_id,ip_src,ip_dst,ip_proto,src_port,dst_port,packet_count,byte_count,duration_sec,duration_nsec,byte_rate,packet_rate,label
1764252718.7576947,1,"(1, '10.0.0.6', '10.0.0.2', 17, 50871, 5001)",10.0.0.6,10.0.0.2,17,50871,5001,92,139104,0,504000000,0.0,0.0,video
1764252718.7576947,1,"(1, '10.0.0.7', '10.0.0.2', 17, 57124, 5001)",10.0.0.7,10.0.0.2,17,57124,5001,87,131544,0,500000000,0.0,0.0,video
1764252718.759082,20,"(20, '10.0.0.6', '10.0.0.2', 17, 50871, 5001)",10.0.0.6,10.0.0.2,17,50871,5001,43,65016,0,490000000,0.0,0.0,video
1764252718.759082,20,"(20, '10.0.0.7', '10.0.0.2', 17, 57124, 5001)",10.0.0.7,10.0.0.2,17,57124,5001,32,48384,0,484000000,0.0,0.0,video
1764252718.7615383,2,"(2, '10.0.0.6', '10.0.0.2', 17, 50871, 5001)",10.0.0.6,10.0.0.2,17,50871,5001,25,37800,0,479000000,0.0,0.0,video
1764252718.7615383,2,"(2, '10.0.0.7', '10.0.0.2', 17, 57124, 5001)",10.0.0.7,10.0.0.2,17,57124,5001,22,33264,0,475000000,0.0,0.0,video
1764252720.7552915,20,"(20, '10.0.0.6', '10.0.0.2', 17, 50871, 5001)",10.0.0.6,10.0.0.2,17,50871,5001,2041,3085992,2,491000000,1509733.133433283,998.5007496251873,video
1764252720.7552915,20,"(20, '10.0.0.7', '10.0.0.2', 17, 57124, 5001)",10.0.0.7,10.0.0.2,17,57124,5001,1063,1607256,2,485000000,779046.4767616192,515.2423788105947,video
1764252720.7565625,1,"(1, '10.0.0.8', '10.0.0.1', 6, 39314, 80)",10.0.0.8,10.0.0.1,6,39314,80,2,148,2,511000000,73.9630184907546,0.9995002498750623,web
1764252720.7565625,1,"(1, '10.0.0.6', '10.0.0.2', 17, 50871, 5001)",10.0.0.6,10.0.0.2,17,50871,5001,3101,4688712,2,505000000,2273667.1664167917,1503.7481259370315,video
1764252720.7565625,1,"(1, '10.0.0.7', '10.0.0.2', 17, 57124, 5001)",10.0.0.7,10.0.0.2,17,57124,5001,1777,2686824,2,501000000,1277001.499250375,844.5777111444278,video
1764252720.7565625,1,"(1, '10.0.0.8', '10.0.0.1', 17, 59376, 5001)",10.0.0.8,10.0.0.1,17,59376,5001,135,204120,0,534000000,0.0,0.0,video
1764252720.7574954,2,"(2, '10.0.0.6', '10.0.0.2', 17, 50871, 5001)",10.0.0.6,10.0.0.2,17,50871,5001,2020,3054240,2,480000000,1507466.2668665668,997.0014992503749,video
1764252720.7574954,2,"(2, '10.0.0.7', '10.0.0.2', 17, 57124, 5001)",10.0.0.7,10.0.0.2,17,57124,5001,1056,1596672,2,476000000,781313.3433283359,516.7416291854073,video
1764252722.761766,2,"(2, '10.0.0.6', '10.0.0.2', 17, 50871, 5001)",10.0.0.6,10.0.0.2,17,50871,5001,3216,4862592,4,483000000,902821.7673489767,597.1043434847729,video
1764252722.761766,2,"(2, '10.0.0.7', '10.0.0.2', 17, 57124, 5001)",10.0.0.7,10.0.0.2,17,57124,5001,1300,1965600,4,479000000,184187.71842236645,121.8172740888667,video
1764252722.761766,2,"(2, '10.0.0.8', '10.0.0.1', 17, 59376, 5001)",10.0.0.8,10.0.0.1,17,59376,5001,1152,1741824,1,883000000,0.0,0.0,video
1764252722.761766,2,"(2, '10.0.0.6', '10.0.0.2', 17, 40735, 5003)",10.0.0.6,10.0.0.2,17,40735,5003,828,1251936,1,271000000,0.0,0.0,background
1764252722.761766,2,"(2, '10.0.0.7', '10.0.0.3', 17, 38053, 5003)",10.0.0.7,10.0.0.3,17,38053,5003,142,214704,1,189000000,0.0,0.0,background
1764252722.7620275,1,"(1, '10.0.0.8', '10.0.0.1', 6, 39314, 80)",10.0.0.8,10.0.0.1,6,39314,80,2,148,4,513000000,0.0,0.0,web
1764252722.7620275,1,"(1, '10.0.0.6', '10.0.0.2', 17, 50871, 5001)",10.0.0.6,10.0.0.2,17,50871,5001,3994,6038928,4,507000000,674433.5664335665,446.0539460539461,video
1764252722.7620275,1,"(1, '10.0.0.7', '10.0.0.2', 17, 57124, 5001)",10.0.0.7,10.0.0.2,17,57124,5001,1966,2972592,4,503000000,142741.25874125873,94.4055944055944,video
1764252722.7620275,1,"(1, '10.0.0.8', '10.0.0.1', 17, 59376, 5001)",10.0.0.8,10.0.0.1,17,59376,5001,3681,5565672,2,536000000,2678097.9020979023,1771.2287712287714,video
1764252722.7620275,1,"(1, '10.0.0.6', '10.0.0.2', 17, 40735, 5003)",10.0.0.6,10.0.0.2,17,40735,5003,2644,3997728,1,925000000,0.0,0.0,background
1764252722.7620275,1,"(1, '10.0.0.7', '10.0.0.3', 17, 38053, 5003)",10.0.0.7,10.0.0.3,17,38053,5003,772,1167264,1,845000000,0.0,0.0,background
1764252722.7639978,20,"(20, '10.0.0.6', '10.0.0.2', 17, 50871, 5001)",10.0.0.6,10.0.0.2,17,50871,5001,3229,4882248,4,495000000,896335.3293413174,592.814371257485,video
1764252722.7639978,20,"(20, '10.0.0.7', '10.0.0.2', 17, 57124, 5001)",10.0.0.7,10.0.0.2,17,57124,5001,1305,1973160,4,489000000,182586.82634730538,120.75848303393214,video
1764252722.7639978,20,"(20, '10.0.0.8', '10.0.0.1', 17, 59376, 5001)",10.0.0.8,10.0.0.1,17,59376,5001,1161,1755432,1,894000000,0.0,0.0,video
1764252722.7639978,20,"(20, '10.0.0.6', '10.0.0.2', 17, 40735, 5003)",10.0.0.6,10.0.0.2,17,40735,5003,836,1264032,1,281000000,0.0,0.0,background
1764252722.7639978,20,"(20, '10.0.0.7', '10.0.0.3', 17, 38053, 5003)",10.0.0.7,10.0.0.3,17,38053,5003,144,217728,1,203000000,0.0,0.0,background
1764252724.7634132,20,"(20, '10.0.0.6', '10.0.0.2', 17, 50871, 5001)",10.0.0.6,10.0.0.2,17,50871,5001,3257,4924584,6,495000000,21168.0,14.0,video
1764252724.7634132,20,"(20, '10.0.0.7', '10.0.0.2', 17, 57124, 5001)",10.0.0.7,10.0.0.2,17,57124,5001,1313,1985256,6,489000000,6048.0,4.0,video
1764252724.7634132,20,"(20, '10.0.0.8', '10.0.0.1', 6, 39314, 80)",10.0.0.8,10.0.0.1,6,39314,80,2,148,4,946000000,74.0,1.0,web
1764252724.7634132,20,"(20, '10.0.0.8', '10.0.0.1', 17, 59376, 5001)",10.0.0.8,10.0.0.1,17,59376,5001,1975,2986200,3,894000000,615384.0,407.0,video
1764252724.7634132,20,"(20, '10.0.0.6', '10.0.0.2', 17, 40735, 5003)",10.0.0.6,10.0.0.2,17,40735,5003,1679,2538648,3,281000000,637308.0,421.5,background
1764252724.7634132,20,"(20, '10.0.0.7', '10.0.0.3', 17, 38053, 5003)",10.0.0.7,10.0.0.3,17,38053,5003,295,446040,3,203000000,114156.00000000001,75.50000000000001,background
1764252724.7634132,20,"(20, '10.0.0.8', '10.0.0.1', 17, 60144, 5003)",10.0.0.8,10.0.0.1,17,60144,5003,1358,2053296,1,224000000,0.0,0.0,background
1764252724.7634132,20,"(20, '10.0.0.8', '10.0.0.2', 17, 51328, 5001)",10.0.0.8,10.0.0.2,17,51328,5001,19,28728,0,34000000,0.0,0.0,video
1764252724.7634132,20,"(20, '10.0.0.7', '10.0.0.4', 17, 46316, 5002)",10.0.0.7,10.0.0.4,17,46316,5002,19,28728,0,34000000,0.0,0.0,voip
1764252724.7634132,20,"(20, '10.0.0.5', '10.0.0.2', 17, 39210, 5001)",10.0.0.5,10.0.0.2,17,39210,5001,18,27216,0,32000000,0.0,0.0,video
1764252724.7639298,2,"(2, '10.0.0.6', '10.0.0.2', 17, 50871, 5001)",10.0.0.6,10.0.0.2,17,50871,5001,3244,4904928,6,483000000,21168.0,14.0,video
1764252724.7639298,2,"(2, '10.0.0.7', '10.0.0.2', 17, 57124, 5001)",10.0.0.7,10.0.0.2,17,57124,5001,1308,1977696,6,479000000,6048.0,4.0,video
1764252724.7639298,2,"(2, '10.0.0.8', '10.0.0.1', 17, 59376, 5001)",10.0.0.8,10.0.0.1,17,59376,5001,1974,2984688,3,883000000,621432.0,411.0,video
1764252724.7639298,2,"(2, '10.0.0.6', '10.0.0.2', 17, 40735, 5003)",10.0.0.6,10.0.0.2,17,40735,5003,1673,2529576,3,271000000,638820.0,422.5,background
1764252724.7639298,2,"(2, '10.0.0.7', '10.0.0.3', 17, 38053, 5003)",10.0.0.7,10.0.0.3,17,38053,5003,293,443016,3,189000000,114156.0,75.5,background
1764252724.7639298,2,"(2, '10.0.0.8', '10.0.0.1', 6, 39314, 80)",10.0.0.8,10.0.0.1,6,39314,80,1,74,1,211000000,0.0,0.0,web
1764252724.7639298,2,"(2, '10.0.0.8', '10.0.0.1', 17, 60144, 5003)",10.0.0.8,10.0.0.1,17,60144,5003,1356,2050272,1,211000000,0.0,0.0,background
1764252724.7639298,2,"(2, '10.0.0.7', '10.0.0.4', 17, 46316, 5002)",10.0.0.7,10.0.0.4,17,46316,5002,13,19656,0,20000000,0.0,0.0,voip
1764252724.7639298,2,"(2, '10.0.0.8', '10.0.0.2', 17, 51328, 5001)",10.0.0.8,10.0.0.2,17,51328,5001,12,18144,0,20000000,0.0,0.0,video
1764252724.7639298,2,"(2, '10.0.0.5', '10.0.0.2', 17, 39210, 5001)",10.0.0.5,10.0.0.2,17,39210,5001,10,15120,0,19000000,0.0,0.0,video
1764252724.764129,1,"(1, '10.0.0.8', '10.0.0.1', 6, 39314, 80)",10.0.0.8,10.0.0.1,6,39314,80,4,296,6,514000000,73.9630184907546,0.9995002498750623,web
1764252724.764129,1,"(1, '10.0.0.6', '10.0.0.2', 17, 50871, 5001)",10.0.0.6,10.0.0.2,17,50871,5001,4012,6066144,6,508000000,13601.199400299847,8.99550224887556,video
1764252724.764129,1,"(1, '10.0.0.7', '10.0.0.2', 17, 57124, 5001)",10.0.0.7,10.0.0.2,17,57124,5001,1966,2972592,6,504000000,0.0,0.0,video
1764252724.764129,1,"(1, '10.0.0.8', '10.0.0.1', 17, 59376, 5001)",10.0.0.8,10.0.0.1,17,59376,5001,4287,6481944,4,537000000,457907.04647676164,302.84857571214394,video
1764252724.764129,1,"(1, '10.0.0.6', '10.0.0.2', 17, 40735, 5003)",10.0.0.6,10.0.0.2,17,40735,5003,3228,4880736,3,926000000,441283.3583208395,291.8540729635182,background
1764252724.764129,1,"(1, '10.0.0.7', '10.0.0.3', 17, 38053, 5003)",10.0.0.7,10.0.0.3,17,38053,5003,936,1415232,3,846000000,123922.03898050972,81.9590204897551,background
1764252724.764129,1,"(1, '10.0.0.7', '10.0.0.2', 6, 55966, 80)",10.0.0.7,10.0.0.2,6,55966,80,2,148,2,509000000,73.96301849075462,0.9995002498750625,web
1764252724.764129,1,"(1, '10.0.0.8', '10.0.0.1', 17, 60144, 5003)",10.0.0.8,10.0.0.1,17,60144,5003,1447,2187864,1,884000000,0.0,0.0,background
1764252724.764129,1,"(1, '10.0.0.7', '10.0.0.4', 17, 46316, 5002)",10.0.0.7,10.0.0.4,17,46316,5002,74,111888,0,40000000,0.0,0.0,voip
1764252724.764129,1,"(1, '10.0.0.8', '10.0.0.2', 17, 51328, 5001)",10.0.0.8,10.0.0.2,17,51328,5001,74,111888,0,40000000,0.0,0.0,video
